SubID,group,condition,Range,Area,Offset,Exponent,R2,Error of fit
oa01,OA,ec,2-25 Hz,Frontal,0.6658,1.0455,0.9733,0.0262
oa02,OA,ec,2-25 Hz,Frontal,1.2108,1.2524,0.9893,0.0292
oa03,OA,ec,2-25 Hz,Frontal,0.9286,1.0244,0.8649,0.0751
oa04,OA,ec,2-25 Hz,Frontal,1.0524,1.1186,0.9758,0.0476
oa05,OA,ec,2-25 Hz,Frontal,0.4578,0.5849,0.7233,0.0615
oa06,OA,ec,2-25 Hz,Frontal,1.7035,1.4939,0.9803,0.0503
oa07,OA,ec,2-25 Hz,Frontal,0.8489,1.2097,0.9324,0.0723
oa08,OA,ec,2-25 Hz,Frontal,0.6765,1.0269,0.9888,0.0252
oa09,OA,ec,2-25 Hz,Frontal,0.7647,0.9389,0.9172,0.0675
oa10,OA,ec,2-25 Hz,Frontal,0.5571,0.7911,0.9567,0.0595
oa11,OA,ec,2-25 Hz,Frontal,1.4131,1.3169,0.8692,0.1042
oa12,OA,ec,2-25 Hz,Frontal,0.1474,0.6988,0.9496,0.0573
oa13,OA,ec,2-25 Hz,Frontal,0.6518,0.171,0.8839,0.0679
oa14,OA,ec,2-25 Hz,Frontal,0.4741,0.5902,0.8491,0.0719
oa15,OA,ec,2-25 Hz,Frontal,0.6627,0.907,0.9551,0.0474
oa16,OA,ec,2-25 Hz,Frontal,0.2595,0.5857,0.8285,0.0843
oa17,OA,ec,2-25 Hz,Frontal,0.41,0.3039,0.9301,0.0348
oa18,OA,ec,2-25 Hz,Frontal,0.9519,1.0055,0.9664,0.0603
oa20,OA,ec,2-25 Hz,Frontal,0.6596,1.0266,0.9876,0.0309
oa21,OA,ec,2-25 Hz,Frontal,0.2236,0.5869,0.7943,0.0842
oa23,OA,ec,2-25 Hz,Frontal,0.3913,1.0238,0.9367,0.0453
oa24,OA,ec,2-25 Hz,Frontal,0.9542,1.0466,0.932,0.0648
oa25,OA,ec,2-25 Hz,Frontal,0.1915,0.4944,0.6191,0.0781
ya01,YA,ec,2-25 Hz,Frontal,1.1348,1.364,0.9676,0.0703
ya02,YA,ec,2-25 Hz,Frontal,0.6918,0.8947,0.9186,0.0496
ya03,YA,ec,2-25 Hz,Frontal,0.6568,1.0409,0.9864,0.0363
ya04,YA,ec,2-25 Hz,Frontal,1.3484,1.2415,0.9583,0.0789
ya05,YA,ec,2-25 Hz,Frontal,0.7937,0.8858,0.97,0.0395
ya06,YA,ec,2-25 Hz,Frontal,0.8891,0.8778,0.965,0.0362
ya07,YA,ec,2-25 Hz,Frontal,1.3115,1.2622,0.9892,0.0347
ya08,YA,ec,2-25 Hz,Frontal,1.7162,1.472,0.9599,0.084
ya09,YA,ec,2-25 Hz,Frontal,0.7907,0.6082,0.8891,0.069
ya10,YA,ec,2-25 Hz,Frontal,1.4033,1.536,0.9824,0.0647
ya11,YA,ec,2-25 Hz,Frontal,0.991,1.1812,0.9839,0.0316
ya12,YA,ec,2-25 Hz,Frontal,1.7511,1.5539,0.967,0.0869
ya13,YA,ec,2-25 Hz,Frontal,1.3959,1.406,0.9724,0.0622
ya14,YA,ec,2-25 Hz,Frontal,1.0027,1.1035,0.9765,0.0572
ya15,YA,ec,2-25 Hz,Frontal,0.9823,1.2399,0.9625,0.0629
ya16,YA,ec,2-25 Hz,Frontal,1.123,1.288,0.9933,0.0248
ya17,YA,ec,2-25 Hz,Frontal,1.2588,1.1282,0.9636,0.049
ya18,YA,ec,2-25 Hz,Frontal,1.3131,1.3926,0.9957,0.0227
ya19,YA,ec,2-25 Hz,Frontal,0.8026,1.0337,0.9792,0.0333
ya21,YA,ec,2-25 Hz,Frontal,1.5436,1.5277,0.9795,0.0532
ya22,YA,ec,2-25 Hz,Frontal,1.5033,1.2602,0.9918,0.0264
oa01,OA,ec,2-25 Hz,Central,0.8164,1.1089,0.9631,0.0317
oa02,OA,ec,2-25 Hz,Central,0.9085,0.953,0.9865,0.0279
oa03,OA,ec,2-25 Hz,Central,0.9468,1.3582,0.9473,0.0926
oa04,OA,ec,2-25 Hz,Central,0.9379,0.9049,0.9647,0.0544
oa05,OA,ec,2-25 Hz,Central,0.2413,0.223,0.2652,0.0706
oa06,OA,ec,2-25 Hz,Central,1.4881,1.3114,0.9303,0.0875
oa07,OA,ec,2-25 Hz,Central,0.8505,1.189,0.9945,0.019
oa08,OA,ec,2-25 Hz,Central,0.5117,0.7736,0.8845,0.1004
oa09,OA,ec,2-25 Hz,Central,0.853,1.0256,0.9732,0.0412
