subID,cond,exponent,offset,cf_1,pw_1,bw_1,cf_2,pw_2,bw_2,cf_3,pw_3,bw_3,cf_4,pw_4,bw_4,r_squared,error,setting_am,setting_mnp,setting_mph,setting_pt,peak_width_LL,peak_width_UL
oa01,EC,0.9783566,1.15943,13.6309595,0.370456,3.4082649,18.92521643,0.18898054,5.83639068,NA,NA,NA,NA,NA,NA,0.9727379,0.03878746,fixed,8,0.1,2,2,8
oa01,EO,1.0711321,1.0694372,16.09345994,0.16621646,5.98424403,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9569563,0.04509918,fixed,8,0.1,2,2,8
oa02,EC,1.237394,1.3717896,12.3444665,0.2343213,3.332396,18.38087573,0.09863343,7.59001468,NA,NA,NA,NA,NA,NA,0.9955911,0.02022108,fixed,8,0.1,2,2,8
oa02,EO,0.9762889,1.1301142,11.29042137,0.1652486,2.75765074,17.7260738,0.1593283,6.8575998,NA,NA,NA,NA,NA,NA,0.9771426,0.0333661,fixed,8,0.1,2,2,8
oa03,EC,1.3794833,1.1572478,9.9191151,0.4243819,2.4382203,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9768158,0.04181013,fixed,8,0.1,2,2,8
oa03,EO,1.3794833,1.1572478,9.91911514,0.4243819,2.43822026,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9768158,0.04181013,fixed,8,0.1,2,2,8
oa04,EC,1.1229691,1.2088293,8.7868967,0.6825025,2.2599192,14.17362028,0.80191338,7.64384948,NA,NA,NA,NA,NA,NA,0.9814576,0.05584183,fixed,8,0.1,2,2,8
oa04,EO,1.2644951,1.3105933,8.88334895,0.61118295,2.53331021,14.8189215,0.6683503,7.984529,NA,NA,NA,NA,NA,NA,0.9810933,0.05580731,fixed,8,0.1,2,2,8
oa05,EC,0.4641857,0.8629907,14.2398489,0.380296,6.6230782,21.89674081,0.30804715,4.8282239,NA,NA,NA,NA,NA,NA,0.9402089,0.04603036,fixed,8,0.1,2,2,8
oa05,EO,0.6648863,0.8686005,14.86731836,0.37475074,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8971924,0.07188322,fixed,8,0.1,2,2,8
oa06,EC,1.5260438,1.4540513,10.7145674,0.5945264,3.3980338,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9857481,0.04420657,fixed,8,0.1,2,2,8
oa06,EO,1.2829051,1.3391085,11.85767114,0.49598837,5.390967,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.974741,0.06056014,fixed,8,0.1,2,2,8
oa07,EC,0.3888872,0.8707425,11.3350163,0.1652525,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9257205,0.05958942,fixed,8,0.1,2,2,8
oa07,EO,0.3579056,0.8224605,7.967,0.21623682,7.2608249,23.937,0.1901308,7.5163454,NA,NA,NA,NA,NA,NA,0.9025117,0.06379233,fixed,8,0.1,2,2,8
oa08,EC,0.3971243,1.0131426,9.066516,0.8400464,3.7976492,13.967,0.35333767,8,NA,NA,NA,NA,NA,NA,0.9622474,0.06941544,fixed,8,0.1,2,2,8
oa08,EO,0.5692986,1.0210907,11.80651508,0.3418222,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8807608,0.10382409,fixed,8,0.1,2,2,8
oa09,EC,0.5699438,0.8538199,10.2088151,0.9215294,2.2668176,14.11764564,0.490407,7.10059288,NA,NA,NA,NA,NA,NA,0.9601897,0.06573057,fixed,8,0.1,2,2,8
oa09,EO,0.9446139,1.0455802,11.02621083,0.35860377,3.34705926,17.3665706,0.3140335,6.9382983,NA,NA,NA,NA,NA,NA,0.9793256,0.03242136,fixed,8,0.1,2,2,8
oa10,EC,0.6844494,1.025764,9.8890047,1.0092558,3.1637813,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9199718,0.10941934,fixed,8,0.1,2,2,8
oa10,EO,0.754504,0.7296572,10.00843286,1.33106057,3.19151281,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9359811,0.10761707,fixed,8,0.1,2,2,8
oa11,EC,0.1143627,0.7574312,10.628804,1.0825113,2.4055881,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9029581,0.1065889,fixed,8,0.1,2,2,8
oa11,EO,0.712209,0.8410502,10.03860724,0.30346597,2.26620807,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9318081,0.05079455,fixed,8,0.1,2,2,8
oa12,EC,0.4080675,0.8164065,10.3629372,1.4414013,2.4576549,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9773616,0.05893718,fixed,8,0.1,2,2,8
oa12,EO,0.713513,1.10323,9.92256061,0.57930694,2.36680076,20.0330551,0.2071733,7.1873898,NA,NA,NA,NA,NA,NA,0.9726582,0.04572364,fixed,8,0.1,2,2,8
oa13,EC,1.090627,0.6779973,11.2385004,1.0207937,3.0202722,20.43575467,0.32705522,4.42948274,NA,NA,NA,NA,NA,NA,0.977796,0.04519234,fixed,8,0.1,2,2,8
oa13,EO,1.0596789,0.7626194,9.9299571,0.30231085,2,11.2289626,0.2767692,2,19.6130057,0.2619928,5.7309612,NA,NA,NA,0.9550268,0.03230525,fixed,8,0.1,2,2,8
